millis,aX,aY,aZ,gX,gY,gZ
63085,-0.433,1.315,1.411,107.849,-201.294,-37.720
63094,-0.453,1.305,1.901,105.835,-191.223,-52.673
63103,-0.456,1.223,2.241,105.103,-171.143,-63.782
63111,-0.524,1.078,2.456,108.643,-178.894,-83.496
63120,-0.600,0.781,2.532,103.027,-167.725,-105.347
63129,-0.639,0.455,2.976,87.524,-135.132,-117.432
63138,-0.703,0.007,3.187,79.224,-145.081,-130.310
63147,-0.954,-0.346,3.200,66.895,-136.475,-135.681
63156,-0.984,-0.666,3.219,52.063,-90.759,-131.531
63164,-0.999,-0.945,3.093,33.447,-54.626,-122.681
63173,-0.960,-1.066,3.015,19.897,-25.391,-116.150
63182,-0.813,-1.267,2.775,15.564,-3.784,-108.276
63190,-0.734,-1.307,2.448,14.038,11.047,-99.792
63199,-0.673,-1.240,2.144,17.822,22.888,-90.759
63208,-0.571,-1.163,1.831,19.775,29.419,-80.933
63217,-0.474,-1.070,1.597,11.108,34.546,-70.801
63225,-0.401,-0.968,1.441,-0.366,34.607,-59.570
63234,-0.340,-0.840,1.308,-6.409,29.724,-50.537
63243,-0.277,-0.704,1.199,-5.920,27.039,-42.480
63252,-0.224,-0.562,1.097,-4.211,26.917,-35.278
63261,-0.175,-0.424,1.021,-8.545,26.733,-29.297
63269,-0.163,-0.318,0.953,-16.968,26.672,-24.719
63278,-0.165,-0.239,0.913,-24.475,25.574,-20.996
63287,-0.168,-0.196,0.892,-26.978,23.743,-17.639
63296,-0.175,-0.162,0.876,-24.475,22.339,-14.343
63305,-0.167,-0.110,0.851,-19.409,20.935,-11.230
63313,-0.150,-0.074,0.827,-13.428,20.203,-9.460
63322,-0.132,-0.077,0.821,-8.911,20.081,-8.850
63331,-0.130,-0.085,0.816,-5.432,20.386,-7.690
63339,-0.141,-0.085,0.805,-1.892,21.484,-6.775
63348,-0.139,-0.102,0.783,-0.061,22.705,-6.470
63357,-0.163,-0.123,0.790,-2.441,22.888,-5.676
63366,-0.186,-0.139,0.784,-4.822,20.752,-5.920
63375,-0.198,-0.167,0.797,-5.554,19.470,-4.822
63383,-0.208,-0.187,0.816,-4.883,17.334,-3.296
63392,-0.219,-0.191,0.839,-2.991,14.893,-1.892
63401,-0.222,-0.175,0.860,-0.244,11.414,-0.305
63410,-0.229,-0.172,0.876,1.648,9.033,0.732
63418,-0.239,-0.191,0.894,2.808,7.080,1.465
63427,-0.246,-0.206,0.923,4.089,4.944,2.380
63436,-0.255,-0.209,0.951,6.287,3.479,4.028
63445,-0.255,-0.194,0.978,10.254,2.136,6.104
63454,-0.254,-0.161,1.012,14.160,1.648,7.629
63462,-0.240,-0.141,1.039,16.785,2.502,8.301
63471,-0.236,-0.129,1.045,17.517,4.456,8.179
63480,-0.226,-0.101,1.060,16.724,5.920,8.423
63489,-0.210,-0.090,1.069,14.526,7.446,8.179
63498,-0.193,-0.085,1.061,11.353,9.399,7.446
63506,-0.187,-0.069,1.047,8.911,11.230,7.202
63515,-0.181,-0.058,1.020,8.118,12.756,7.019
63524,-0.168,-0.053,1.001,6.592,12.878,6.226
63532,-0.157,-0.051,0.998,3.784,11.902,5.615
63541,-0.155,-0.056,0.998,2.686,11.108,5.371
63550,-0.147,-0.059,0.998,4.089,10.498,5.127
63559,-0.135,-0.063,1.000,6.470,9.583,4.883
63568,-0.129,-0.061,1.001,7.507,8.972,5.066
66102,-0.330,-0.048,2.297,-72.449,-51.147,82.825
66111,-0.393,0.063,2.427,-69.275,-39.490,83.496
66119,-0.456,0.176,2.539,-70.190,-24.048,83.069
66128,-0.525,0.266,2.613,-73.486,-4.395,82.092
66137,-0.587,0.341,2.641,-76.843,17.151,80.200
66146,-0.645,0.394,2.614,-80.017,39.490,76.904
66155,-0.709,0.437,2.552,-82.947,62.012,74.280
66164,-0.764,0.492,2.464,-85.510,82.764,71.960
66172,-0.828,0.572,2.373,-86.304,101.074,68.665
66181,-0.882,0.639,2.257,-83.313,117.615,63.049
66189,-0.915,0.700,2.144,-78.979,132.996,55.969
66198,-0.946,0.757,2.040,-74.280,146.973,50.171
66207,-0.976,0.812,1.951,-67.017,158.081,44.861
66216,-0.999,0.876,1.863,-56.702,168.823,39.185
66225,-1.029,0.965,1.786,-45.349,180.115,34.424
66234,-1.039,1.042,1.696,-33.997,190.430,28.198
66242,-1.035,1.108,1.590,-24.780,199.951,20.630
66251,-1.031,1.180,1.475,-17.944,209.290,13.367
66260,-1.006,1.266,1.354,-11.414,217.407,5.615
66268,-0.965,1.333,1.206,-4.578,225.891,-3.174
66277,-0.901,1.387,1.035,-1.282,234.070,-13.000
66286,-0.859,1.439,0.881,-2.625,239.319,-23.987
66295,-0.807,1.475,0.675,-5.737,241.943,-35.156
66304,-0.757,1.526,0.478,-10.376,243.591,-45.288
66312,-0.748,1.593,0.282,-15.503,242.554,-55.176
66321,-0.739,1.631,0.107,-17.273,238.892,-67.688
66330,-0.735,1.628,-0.044,-16.357,232.300,-84.412
66339,-0.727,1.563,-0.172,-16.235,220.825,-104.309
66347,-0.728,1.440,-0.314,-17.395,204.468,-125.183
66356,-0.735,1.278,-0.433,-19.836,184.570,-144.409
66365,-0.737,1.104,-0.533,-22.034,162.109,-162.476
66374,-0.734,0.918,-0.632,-24.109,139.709,-177.856
66382,-0.727,0.739,-0.722,-25.330,118.835,-189.209
66391,-0.712,0.581,-0.831,-25.024,99.487,-197.021
66400,-0.686,0.466,-0.946,-25.024,83.191,-201.477
66409,-0.695,0.372,-1.101,-25.513,71.777,-203.918
66418,-0.752,0.269,-1.303,-26.550,64.026,-205.017
66426,-0.807,0.136,-1.532,-30.518,54.626,-206.848
66435,-0.860,-0.032,-1.736,-36.377,39.551,-209.045
66444,-0.895,-0.194,-1.905,-36.682,18.677,-212.585
66453,-0.875,-0.379,-2.094,-23.621,-3.967,-217.041
66461,-0.797,-0.547,-2.210,-5.432,-29.114,-217.407
66470,-0.697,-0.667,-2.223,2.136,-60.730,-209.961
