aX,aY,aZ,gX,gY,gZ,millis
0.586,1.817,-0.687,14.16,-53.467,-111.816,6388.0
0.458,1.595,-0.578,-12.756,-68.787,-137.39,6396.0
0.35,1.322,-0.404,-31.494,-82.886,-156.616,6405.0
0.208,1.035,-0.198,-42.48,-95.825,-169.434,6414.0
0.11,0.731,0.025,-47.546,-105.103,-176.147,6423.0
0.007,0.433,0.292,-51.331,-110.413,-178.65,6432.0
-0.111,0.128,0.609,-54.749,-116.028,-179.81,6440.0
-0.272,-0.199,0.965,-54.077,-122.803,-181.396,6449.0
-0.478,-0.567,1.348,-50.293,-128.906,-182.556,6457.0
-0.68,-0.965,1.756,-46.814,-128.784,-180.969,6466.0
-0.856,-1.352,2.084,-46.021,-116.455,-175.232,6475.0
-1.0,-1.687,2.301,-46.265,-89.6,-162.842,6484.0
-1.061,-1.964,2.334,-40.649,-58.533,-141.052,6493.0
-1.091,-2.265,2.378,-27.588,-33.813,-111.633,6501.0
-1.202,-2.498,2.288,-2.502,-23.437,-74.829,6510.0
-1.2,-2.607,2.167,23.071,-13.733,-28.442,6519.0
-1.211,-2.551,2.07,34.79,-2.991,23.193,6528.0
-1.19,-2.406,1.923,44.983,8.362,74.585,6537.0
-1.143,-2.184,1.719,53.345,23.315,124.146,6545.0
-1.065,-1.823,1.483,54.81,38.696,171.448,6554.0
-0.926,-1.288,1.225,53.528,48.34,215.759,6563.0
-0.739,-0.641,1.033,51.514,47.791,249.023,6572.0
-0.536,0.062,0.972,49.561,36.682,268.005,6581.0
-0.35,0.765,0.963,50.781,21.179,274.963,6589.0
-0.124,1.369,0.944,54.443,9.949,269.47,6598.0
0.161,1.871,0.863,54.688,9.338,253.601,6607.0
0.475,2.33,0.798,50.11,13.611,230.469,6616.0
0.796,2.73,0.883,45.959,14.893,201.843,6624.0
0.972,2.85,0.667,49.255,10.132,169.434,6633.0
1.278,3.192,0.536,37.964,10.498,136.963,6642.0
1.465,3.316,0.534,22.095,3.54,95.581,6651.0
1.517,3.306,0.406,20.264,-8.423,41.321,6660.0
1.479,3.15,0.245,17.7,-22.522,-13.489,6668.0
1.409,2.893,0.201,6.775,-25.696,-67.2,6677.0
1.248,2.602,0.112,-4.761,-26.428,-117.371,6685.0
1.098,2.233,0.053,-11.658,-21.912,-161.255,6694.0
0.916,1.861,-0.061,-18.982,-17.029,-197.205,6703.0
0.677,1.472,-0.097,-29.236,-15.503,-225.525,6712.0
0.487,1.055,-0.102,-41.077,-18.799,-245.056,6721.0
0.238,0.701,0.053,-56.519,-31.433,-257.935,6729.0
-0.105,0.303,0.321,-65.308,-51.819,-266.296,6738.0
-0.463,-0.18,0.686,-61.279,-72.449,-268.188,6747.0
-0.785,-0.636,1.084,-54.932,-85.632,-263.062,6756.0
-1.082,-1.069,1.446,-47.424,-89.111,-253.54,6765.0
-1.38,-1.522,1.729,-36.865,-85.266,-242.981,6773.0
-1.717,-1.935,1.985,-27.893,-78.552,-228.882,6782.0
-2.035,-2.277,2.249,-18.86,-71.045,-205.444,6791.0
-2.259,-2.668,2.386,-6.042,-55.298,-167.236,6800.0
-2.32,-2.896,2.445,9.155,-34.485,-115.662,6808.0
-2.268,-2.945,2.232,34.363,-18.25,-51.27,6817.0
-2.069,-2.781,1.955,49.316,-0.183,17.639,6826.0
-1.823,-2.51,1.675,57.8,12.024,81.604,6835.0
-1.539,-2.125,1.406,62.195,18.86,137.695,6844.0
-1.251,-1.607,1.191,56.03,20.996,186.462,6852.0
-0.96,-1.001,1.076,45.166,19.165,226.746,6861.0
-0.677,-0.372,1.036,37.292,14.587,257.69,6870.0
-0.424,0.277,1.045,33.813,10.01,280.64,6879.0
-0.184,0.89,1.035,33.386,8.423,295.471,6888.0
0.082,1.464,1.035,34.241,11.169,299.194,6896.0
0.363,2.0,0.989,34.485,11.963,290.771,6905.0
0.652,2.444,0.982,32.715,13.977,268.616,6914.0
0.917,2.691,1.009,31.86,13.306,234.985,6923.0
1.094,2.871,0.886,33.63,15.259,194.58,6931.0
1.299,3.06,0.807,23.804,22.4,153.381,6940.0
1.42,3.1,0.799,14.893,23.743,106.445,6949.0
1.42,3.022,0.703,16.052,19.348,58.044,6958.0
1.413,2.908,0.556,19.592,19.47,13.611,6966.0
1.359,2.747,0.384,16.968,20.935,-29.419,6975.0
1.235,2.527,0.318,10.437,18.311,-75.134,6984.0
1.036,2.244,0.248,1.526,17.212,-117.432,6993.0
0.848,1.889,0.215,-8.118,15.503,-153.748,7001.0
0.67,1.518,0.214,-17.7,15.808,-184.265,7010.0
0.466,1.132,0.245,-25.635,11.23,-209.778,7019.0
0.234,0.683,0.294,-28.748,3.601,-229.736,7028.0
-0.021,0.244,0.378,-32.532,-2.808,-242.493,7036.0
-0.337,-0.145,0.523,-38.147,-10.254,-248.413,7045.0
-0.711,-0.539,0.728,-41.931,-20.142,-248.047,7054.0
-1.055,-1.005,1.02,-43.457,-31.494,-241.516,7063.0
-1.337,-1.505,1.377,-44.189,-40.222,-229.004,7071.0
-1.543,-2.001,1.712,-44.556,-39.673,-211.243,7080.0
-1.761,-2.406,1.946,-45.837,-26.733,-188.171,7089.0
-1.962,-2.702,1.976,-44.25,-7.263,-158.203,7098.0
-2.087,-2.973,2.026,-37.048,6.226,-118.347,7107.0
-2.219,-3.18,1.918,-14.465,6.836,-66.467,7115.0
-2.135,-3.183,1.777,6.836,11.963,-3.174,7124.0
-2.01,-2.949,1.635,16.174,18.921,64.575,7133.0
-1.78,-2.577,1.437,29.236,22.156,131.104,7142.0
-1.513,-2.099,1.236,40.955,21.362,191.772,7151.0
-1.251,-1.501,1.078,42.908,18.311,243.408,7159.0
-0.98,-0.788,0.959,39.124,15.93,286.438,7168.0
-0.708,0.068,0.853,36.316,11.719,318.604,7177.0
-0.452,0.93,0.778,36.011,4.761,332.947,7186.0
-0.127,1.664,0.754,35.583,-1.77,328.308,7194.0
0.214,2.182,0.766,30.823,-5.737,306.763,7203.0
0.773,2.807,0.992,27.771,-2.625,239.319,8413.0
1.05,3.163,0.847,36.438,2.869,204.712,8422.0
1.274,3.375,0.795,29.785,6.47,169.189,8431.0
1.389,3.359,0.774,24.536,2.38,118.774,8439.0
1.321,3.194,0.74,18.372,1.953,62.744,8448.0
1.236,2.936,0.675,2.441,12.39,12.512,8457.0
1.089,2.598,0.71,-24.841,36.926,-35.4,8466.0
0.815,2.15,0.628,-54.81,64.575,-80.933,8475.0
0.609,1.589,0.482,-82.458,102.783,-114.014,8483.0
0.472,1.056,0.335,-116.638,136.475,-133.057,8492.0
0.372,0.512,0.303,-157.654,164.734,-145.63,8501.0
0.231,-0.109,0.353,-192.566,181.213,-152.405,8510.0
0.033,-0.79,0.532,-221.619,185.486,-149.109,8518.0
-0.233,-1.414,0.878,-255.554,186.523,-133.911,8527.0
-0.545,-1.987,1.423,-291.321,185.425,-106.323,8536.0
-0.851,-2.403,2.07,-318.298,178.223,-59.998,8545.0
-1.046,-2.463,2.795,-328.186,173.889,6.409,8554.0
-1.102,-2.287,3.315,-298.95,177.49,85.51,8562.0
-1.038,-2.137,3.721,-223.083,183.472,165.283,8571.0
-1.045,-1.885,3.628,-104.98,180.786,240.356,8580.0
-0.934,-1.573,3.297,-2.686,187.927,312.5,8589.0
-0.745,-1.098,2.828,52.734,207.581,374.756,8598.0
-0.62,-0.381,2.459,72.266,229.248,408.691,8606.0
-0.483,0.684,1.953,81.238,256.47,421.936,8615.0
-0.113,1.564,1.472,104.553,277.71,401.55,8624.0
0.059,2.095,1.034,127.441,279.907,345.398,8633.0
0.067,2.361,0.634,130.554,282.227,278.076,8641.0
0.037,2.575,0.194,111.694,294.434,223.389,8650.0
0.025,2.97,-0.053,80.872,307.007,181.396,8659.0
-0.015,2.992,-0.557,61.89,305.603,145.935,8668.0
0.136,3.39,-1.287,41.809,291.748,118.042,8677.0
0.416,3.659,-1.631,19.653,249.878,89.783,8685.0
0.549,3.747,-1.788,16.052,186.096,45.471,8694.0
0.599,3.657,-1.925,25.024,124.451,-8.24,8702.0
0.641,3.398,-2.007,31.86,67.871,-60.303,8711.0
0.633,3.073,-1.997,32.898,12.756,-106.995,8720.0
0.595,2.727,-1.809,30.945,-41.809,-146.057,8729.0
0.548,2.325,-1.562,26.489,-87.219,-180.725,8738.0
0.488,1.882,-1.307,16.602,-116.455,-211.487,8746.0
0.352,1.332,-1.052,-0.305,-134.583,-237.366,8755.0
0.295,0.631,-0.789,-30.518,-143.921,-257.996,8764.0
0.149,-0.157,-0.324,-84.961,-150.085,-275.818,8773.0
-0.171,-0.953,0.281,-159.363,-150.452,-285.645,8782.0
-0.496,-1.682,1.065,-235.901,-139.343,-270.935,8790.0
-0.745,-2.123,2.055,-298.767,-121.399,-225.464,8799.0
-0.904,-2.237,3.102,-316.711,-99.06,-153.381,8808.0
-0.995,-2.101,4.0,-265.808,-80.383,-69.031,8817.0
-0.965,-1.894,4.0,-162.109,-70.129,11.78,8825.0
-0.8,-1.965,4.0,-53.772,-31.372,75.562,8834.0
-0.828,-1.898,4.0,40.894,37.048,115.295,8843.0
-0.714,-1.799,3.996,100.403,118.347,146.545,8852.0
-0.648,-1.62,3.055,116.638,183.655,172.791,8860.0
-0.656,-1.234,2.268,120.85,210.144,196.228,8869.0
-0.623,-0.697,1.688,135.925,209.045,228.699,8878.0
-0.555,0.043,1.209,152.283,198.975,264.832,8887.0
-0.463,0.968,0.716,157.715,188.599,293.762,8896.0
-0.286,1.913,0.222,151.306,187.195,304.993,8904.0
-0.064,2.749,-0.235,134.766,193.97,292.053,8913.0
0.152,3.442,-0.607,117.31,204.163,253.174,8922.0
0.275,3.691,-0.932,117.859,203.125,197.571,8931.0
0.263,4.0,-1.776,124.329,194.153,136.536,8940.0
0.473,4.0,-2.152,92.773,166.199,86.487,8948.0
0.385,4.0,-2.398,50.964,121.216,35.645,8957.0
0.546,4.0,-2.68,10.986,76.66,-3.601,8966.0
0.746,4.0,-2.752,-33.02,27.222,-41.687,8975.0
0.788,3.997,-2.623,-72.998,-34.973,-90.82,8983.0
0.77,3.468,-2.26,-102.905,-95.032,-141.724,8992.0
0.51,2.691,-1.721,-140.076,-142.578,-191.284,9001.0
0.104,1.741,-1.052,-192.383,-170.959,-226.44,9009.0
-0.079,0.726,-0.165,-256.531,-188.293,-235.779,9018.0
-0.35,-0.089,1.0,-321.045,-201.111,-226.44,9027.0
-0.365,-0.848,2.314,-363.892,-188.293,-191.467,9036.0
-0.25,-1.418,3.44,-366.333,-151.489,-140.442,9045.0
-0.116,-1.764,4.0,-327.942,-109.558,-82.336,9053.0
0.118,-1.815,4.0,-262.146,-67.993,-18.982,9062.0
0.308,-1.846,4.0,-172.485,-22.278,38.147,9071.0
0.425,-2.022,4.0,-73.914,28.198,77.148,9080.0
0.331,-2.149,4.0,10.193,79.712,109.802,9088.0
0.23,-1.988,3.858,38.452,133.179,153.748,9097.0
0.185,-1.54,3.172,46.753,179.016,195.374,9106.0
0.113,-0.89,2.364,65.674,217.407,228.943,9115.0
0.083,-0.063,1.517,88.806,241.699,252.136,9123.0
0.034,0.823,0.771,101.44,247.803,262.451,9132.0
0.049,1.722,0.054,95.764,249.084,256.531,9141.0
0.085,2.572,-0.652,69.519,249.756,231.445,9150.0
0.109,3.156,-1.294,30.334,246.399,182.373,9159.0
