aX,aY,aZ,gX,gY,gZ,millis
-1.78,-0.359,1.484,-351.562,302.063,166.443,26171
-1.802,-0.073,1.171,-384.338,290.466,118.896,26179
-1.848,0.222,0.875,-417.114,264.771,63.232,26188
-1.851,0.301,0.696,-440.002,225.22,-0.183,26197
-1.799,0.288,0.661,-448.364,178.772,-70.74,26205
-1.649,0.151,0.615,-440.552,142.517,-133.301,26214
-1.511,-0.008,0.538,-427.307,124.817,-182.617,26223
-1.483,-0.083,0.362,-408.081,116.577,-221.13,26232
-1.481,-0.179,0.115,-383.423,112.305,-249.634,26241
-1.447,-0.263,-0.204,-364.807,102.722,-270.081,26249
-1.364,-0.34,-0.477,-358.765,74.036,-282.654,26258
-1.268,-0.482,-0.577,-355.286,21.362,-287.354,26267
-1.154,-0.589,-0.601,-344.543,-46.997,-288.635,26276
-1.052,-0.671,-0.538,-326.599,-116.272,-289.551,26285
-1.008,-0.728,-0.445,-302.185,-171.265,-288.391,26293
-0.946,-0.754,-0.417,-273.621,-210.205,-288.635,26302
-0.848,-0.828,-0.4,-241.882,-230.896,-288.879,26311
-0.84,-0.895,-0.395,-205.383,-241.638,-284.973,26320
-0.792,-1.006,-0.362,-164.368,-250.916,-274.658,26329
-0.657,-1.234,-0.209,-119.141,-267.212,-256.165,26337
-0.56,-1.309,-0.154,-72.51,-292.847,-239.258,26346
-0.438,-1.321,-0.098,-28.198,-315.735,-223.511,26355
-0.401,-1.413,0.064,13.428,-333.74,-195.984,26363
-0.341,-1.448,0.219,47.058,-348.389,-157.654,26372
-0.237,-1.453,0.4,77.942,-356.934,-117.737,26381
-0.188,-1.514,0.568,107.971,-358.337,-76.233,26390
-0.106,-1.609,0.719,131.042,-358.948,-35.4,26399
0.015,-1.672,0.955,143.433,-365.356,10.986,26407
-0.028,-1.66,1.104,145.203,-383.423,68.604,26416
-0.213,-1.589,1.271,145.264,-402.771,127.991,26425
-0.465,-1.518,1.495,156.677,-406.738,185.12,26433
-0.691,-1.469,1.585,190.613,-390.198,239.441,26442
-0.913,-1.508,1.57,236.694,-352.539,284.546,26451
-1.075,-1.583,1.71,272.095,-298.523,315.002,26460
-1.123,-1.643,1.983,293.457,-252.502,337.158,26469
-1.148,-1.737,2.277,306.213,-242.065,364.441,26477
-1.227,-1.801,2.533,310.242,-270.142,399.475,26486
-1.285,-1.788,2.762,301.575,-295.898,437.744,26495
-1.323,-1.77,3.019,281.738,-273.926,471.497,26504
-1.348,-1.793,3.087,254.211,-206.848,491.272,26513
-1.398,-1.911,3.116,219.482,-132.08,497.192,26521
-1.392,-1.91,3.027,176.147,-75.134,493.835,26530
-1.502,-1.969,2.992,125.977,-36.621,488.159,26539
-1.583,-1.98,2.846,67.505,-9.094,477.112,26547
-1.53,-1.674,2.749,8.423,16.113,453.918,26556
-1.361,-1.648,2.526,-35.95,60.547,439.758,26565
-1.256,-1.667,2.333,-72.388,115.845,435.364,26574
-1.136,-1.631,2.127,-107.483,179.016,440.674,26583
-1.069,-1.617,1.967,-136.353,240.54,458.191,26591
-1.078,-1.563,1.911,-163.33,290.344,482.971,26600
-1.207,-1.656,2.017,-188.171,327.393,496.948,26609
-1.47,-1.429,1.817,-207.886,338.928,475.281,26618
-1.566,-0.955,1.395,-220.642,321.594,415.649,26627
-1.48,-0.764,1.225,-229.492,317.261,354.858,26635
-1.401,-0.671,1.045,-251.587,322.754,305.054,26644
-1.384,-0.503,0.872,-293.213,312.256,264.954,26653
-1.35,-0.292,0.774,-348.145,276.001,229.492,26662
-1.314,-0.146,0.696,-417.664,217.468,184.448,26670
-1.257,-0.003,0.647,-495.85,149.231,129.211,26679
-1.211,0.078,0.574,-564.514,87.097,75.134,26688
-1.201,0.112,0.479,-616.394,36.56,22.766,26697
-1.101,0.073,0.475,-646.912,-0.549,-28.931,26705
-1.014,-0.063,0.45,-653.137,-24.902,-75.195,26714
-0.946,-0.194,0.399,-639.16,-42.664,-112.0,26723
-0.911,-0.239,0.198,-611.084,-64.087,-142.944,26732
-0.849,-0.336,-0.015,-574.463,-89.172,-168.64,26740
-0.822,-0.326,-0.248,-536.926,-119.934,-190.43,26749
-0.759,-0.364,-0.434,-493.774,-162.292,-206.177,26758
-0.738,-0.477,-0.443,-446.655,-211.975,-212.341,26767
-0.783,-0.549,-0.354,-398.926,-269.897,-211.67,26776
-0.79,-0.512,-0.238,-349.365,-329.285,-216.003,26784
-0.783,-0.6,-0.068,-297.546,-367.92,-229.98,26793
-0.795,-0.738,0.037,-246.155,-373.84,-250.366,26802
-0.689,-0.874,0.031,-191.284,-351.746,-267.761,26811
-0.535,-1.03,-0.01,-135.498,-325.928,-275.391,26819
-0.414,-1.179,0.012,-87.28,-318.054,-267.944,26828
-0.316,-1.253,0.119,-54.199,-332.581,-247.192,26837
-0.326,-1.274,0.168,-31.311,-371.887,-216.675,26846
-0.361,-1.238,0.285,-17.395,-415.039,-179.199,26854
-0.378,-1.216,0.34,-12.634,-445.862,-135.925,26863
-0.348,-1.194,0.478,-8.118,-480.103,-89.172,26872
-0.358,-1.176,0.63,4.15,-517.639,-37.292,26881
-0.324,-1.214,0.745,32.288,-541.992,8.667,26890
-0.429,-1.474,1.012,89.05,-536.072,39.368,26899
-0.492,-1.654,1.188,168.274,-495.667,48.279,26907
-0.414,-1.735,1.303,247.253,-434.753,52.124,26916
-0.443,-1.754,1.452,296.021,-386.047,70.435,26925
-0.648,-1.754,1.693,313.11,-372.925,110.229,26933
-0.906,-1.706,1.885,318.726,-394.653,167.664,26942
-1.148,-1.542,1.965,316.345,-419.434,223.999,26951
-1.371,-1.393,2.053,302.429,-421.082,265.991,26960
-1.525,-1.354,2.171,280.396,-398.315,288.208,26968
-1.603,-1.347,2.287,265.503,-360.535,288.33,26977
-1.568,-1.378,2.326,255.432,-314.026,278.809,26986
-1.525,-1.443,2.409,232.788,-273.01,274.048,26995
-1.452,-1.506,2.52,200.256,-238.892,285.828,27004
-1.335,-1.571,2.635,166.626,-203.43,316.101,27012
-1.312,-1.693,2.771,129.7,-163.452,360.229,27021
-1.436,-1.838,2.879,93.079,-118.408,405.762,27030
-1.604,-1.902,2.833,54.016,-71.045,428.284,27039
-1.789,-1.603,2.665,10.376,-32.349,415.283,27047
-1.83,-1.325,2.474,-31.128,8.118,388.55,27056
-1.78,-1.231,2.342,-72.876,60.12,369.324,27065
-1.658,-1.202,2.26,-118.164,103.943,352.6,27074
-1.446,-1.145,2.195,-162.354,135.803,341.919,27082
-1.33,-1.066,2.155,-199.951,171.265,339.172,27091
-1.322,-1.057,2.155,-223.206,225.708,338.44,27100
-1.486,-1.088,2.092,-234.314,285.095,331.238,27109
-1.748,-0.851,1.767,-242.432,319.153,303.223,27118
-1.966,-0.541,1.386,-249.329,337.402,261.902,27126
-2.025,-0.286,1.136,-268.005,355.042,220.215,27135
-1.98,0.024,0.877,-313.416,348.389,175.842,27144
-1.826,0.38,0.652,-385.986,315.674,127.441,27153
-1.51,0.447,0.618,-562.683,179.687,-1.953,28196
-1.307,0.279,0.693,-610.901,108.826,-71.289,28205
-1.112,0.091,0.754,-618.652,63.293,-122.375,28214
-0.982,-0.055,0.691,-593.079,46.265,-155.64,28222
-0.916,-0.149,0.496,-546.509,57.251,-181.641,28231
-0.885,-0.221,0.216,-501.038,78.125,-200.195,28240
-0.813,-0.335,-0.07,-466.37,83.191,-210.754,28249
-0.805,-0.425,-0.319,-441.284,57.251,-213.562,28258
-0.718,-0.449,-0.498,-422.119,5.859,-207.214,28266
-0.613,-0.418,-0.518,-406.616,-54.626,-195.312,28275
-0.587,-0.377,-0.471,-389.465,-113.953,-184.204,28284
-0.572,-0.361,-0.41,-366.699,-162.354,-177.795,28292
-0.516,-0.434,-0.306,-331.97,-195.251,-175.903,28301
-0.485,-0.585,-0.153,-280.212,-213.074,-173.279,28310
-0.434,-0.727,-0.089,-219.482,-216.064,-170.532,28319
-0.296,-0.814,-0.074,-161.926,-210.632,-166.016,28328
-0.181,-0.93,0.002,-109.68,-210.693,-155.701,28336
-0.132,-0.991,0.09,-62.5,-215.454,-139.832,28345
-0.135,-0.991,0.152,-24.902,-223.45,-119.202,28354
-0.171,-0.987,0.169,2.502,-236.694,-95.398,28363
-0.208,-0.977,0.188,25.818,-250.122,-71.838,28372
-0.175,-0.985,0.214,50.171,-255.066,-46.692,28380
-0.208,-1.0,0.267,76.538,-252.991,-18.127,28389
-0.196,-1.011,0.336,104.675,-255.005,13.062,28398
-0.17,-1.037,0.441,136.353,-272.034,51.086,28407
-0.213,-1.104,0.667,173.767,-301.147,98.083,28415
-0.308,-1.186,0.891,215.942,-329.956,140.991,28424
-0.404,-1.182,1.075,250.366,-341.675,174.194,28433
-0.474,-1.213,1.219,279.48,-340.271,204.041,28442
-0.615,-1.207,1.333,301.697,-334.29,234.375,28450
-0.775,-1.193,1.45,315.125,-327.637,261.902,28459
-0.867,-1.15,1.603,320.923,-321.228,285.278,28468
-0.969,-1.123,1.784,320.007,-313.11,305.42,28477
-1.089,-1.178,1.997,312.866,-297.791,319.824,28486
-1.189,-1.2,2.24,299.988,-277.893,325.745,28494
-1.262,-1.153,2.404,284.607,-257.446,324.89,28503
-1.256,-1.137,2.6,265.686,-228.394,323.181,28512
-1.23,-1.124,2.768,243.469,-188.965,326.904,28520
-1.227,-1.107,2.916,215.027,-146.606,336.243,28529
-1.204,-1.091,3.089,179.81,-103.271,347.778,28538
-1.237,-1.067,3.222,136.963,-56.091,356.873,28547
-1.279,-1.083,3.314,85.815,-1.404,358.704,28556
-1.409,-0.994,3.252,24.658,49.438,348.816,28564
-1.502,-0.898,3.076,-46.387,93.262,329.224,28573
-1.5,-0.864,2.946,-125.793,139.465,306.885,28582
-1.495,-0.856,2.802,-199.158,182.129,288.635,28591
-1.496,-0.85,2.674,-254.578,217.224,276.428,28600
-1.549,-0.829,2.525,-293.03,243.408,262.756,28608
-1.614,-0.698,2.289,-318.054,264.832,239.807,28617
-1.672,-0.477,2.067,-332.031,286.682,207.031,28626
-1.712,-0.249,1.838,-336.792,305.176,167.908,28635
-1.698,-0.05,1.573,-342.529,317.383,125.549,28643
-1.617,0.15,1.339,-362.732,318.054,84.412,28652
-1.518,0.378,1.067,-393.433,304.932,47.729,28661
-1.549,0.507,0.841,-427.429,275.146,8.911,28670
-1.577,0.529,0.632,-458.862,228.638,-47.241,28678
-1.451,0.452,0.475,-477.661,182.007,-114.258,28687
-1.276,0.298,0.309,-477.539,145.935,-168.64,28696
-1.104,0.082,0.134,-459.412,119.385,-205.261,28705
-0.935,-0.133,-0.067,-424.988,99.304,-225.342,28714
