millis,aX,aY,aZ,gX,gY,gZ
99632,-0.292,1.571,0.824,-11.719,-5.920,-9.583
99641,-0.198,1.658,0.816,-17.944,-10.437,-23.315
99650,-0.122,1.598,0.831,-23.682,-10.986,-36.438
99658,-0.071,1.598,0.825,-33.325,-13.794,-50.598
99667,-0.060,1.542,0.773,-32.532,-18.555,-62.134
99676,-0.094,1.534,0.715,-23.193,-16.968,-71.533
99684,-0.153,1.504,0.718,-8.911,-12.695,-80.139
99693,-0.160,1.439,0.762,7.996,-6.653,-86.487
99702,-0.156,1.090,0.783,26.672,1.404,-88.745
99711,-0.236,1.151,0.810,36.987,8.179,-92.712
99720,-0.220,0.757,1.015,54.138,12.451,-94.238
99728,-0.290,0.521,0.955,52.307,3.723,-89.783
99737,-0.276,0.090,0.891,36.804,3.113,-72.571
99746,-0.136,-0.554,1.095,14.221,12.695,-48.218
99755,-0.395,-0.296,1.050,-0.488,0.305,-30.701
99764,-0.379,-0.223,1.040,-4.456,-8.362,-22.156
99772,-0.509,-0.376,1.026,-3.784,-10.254,-21.790
99781,-0.412,-0.559,1.027,1.587,-4.150,-35.950
99790,-0.512,-0.946,1.060,2.014,-10.254,-51.392
99799,-0.403,-1.136,1.142,0.305,-9.338,-69.397
99807,-0.144,-1.466,1.165,2.747,-9.155,-72.205
99816,-0.098,-1.718,1.149,6.958,-12.451,-64.392
99825,0.069,-1.962,1.215,3.540,-16.174,-49.133
99834,0.141,-1.989,1.220,2.930,-11.658,-36.255
99843,0.171,-1.799,1.210,5.920,-8.484,-22.339
99851,0.091,-1.518,1.149,0.854,-7.812,-7.385
99860,0.151,-1.438,1.154,-0.671,-5.066,1.953
99869,0.148,-1.265,1.135,2.075,-4.089,5.493
99878,0.131,-0.952,1.107,2.808,-3.174,7.324
99886,0.047,-0.561,1.050,1.892,-2.625,5.859
99895,-0.005,-0.207,1.003,1.526,-2.258,4.578
99904,-0.065,0.049,0.985,1.099,0.427,1.892
99913,-0.080,0.074,0.977,0.122,2.686,-2.075
99922,-0.096,0.056,0.978,0.061,3.784,-5.249
99930,-0.072,0.083,0.982,0.427,6.531,-3.296
99939,-0.062,0.103,0.983,0.427,8.301,0.793
99948,-0.058,0.123,0.983,0.305,7.874,3.479
99957,-0.057,0.135,0.983,-0.366,8.545,4.761
99965,-0.049,0.136,0.984,-0.488,8.118,5.920
99974,-0.057,0.130,0.981,-0.549,5.737,5.493
99982,-0.065,0.116,0.981,-0.610,5.005,3.662
99991,-0.061,0.109,0.985,-0.427,4.700,3.296
100000,-0.063,0.107,0.984,0.061,3.723,3.235
100009,-0.064,0.108,0.983,0.244,3.174,3.296
100018,-0.067,0.108,0.981,0.244,3.113,3.418
100027,-0.063,0.107,0.982,0.305,3.418,3.296
100035,-0.063,0.107,0.981,0.366,3.845,3.357
100044,-0.062,0.105,0.982,0.183,4.211,3.418
100053,-0.063,0.104,0.979,-0.366,4.211,3.235
100062,-0.059,0.108,0.983,-0.793,4.456,3.052
100071,-0.060,0.108,0.982,-0.488,3.784,3.052
100079,-0.061,0.107,0.981,-0.305,3.174,3.296
100088,-0.060,0.107,0.982,-0.244,2.991,3.296
100097,-0.061,0.107,0.981,-0.366,2.625,3.235
100106,-0.060,0.105,0.982,0.000,2.319,3.113
100114,-0.075,0.095,0.980,0.366,2.075,2.930
100123,-0.060,0.106,0.982,0.671,2.319,2.686
100132,-0.058,0.102,0.984,0.977,2.380,3.174
100141,-0.057,0.102,0.981,1.404,2.136,3.906
100150,-0.054,0.106,0.984,1.465,2.258,3.723
100158,-0.053,0.107,0.982,1.587,1.953,2.563
100167,-0.053,0.107,0.984,1.587,1.526,0.977
100176,-0.048,0.102,0.981,1.648,1.099,0.732
100185,-0.020,0.095,0.987,1.892,0.732,0.122
100193,-0.054,0.119,0.980,2.075,0.000,-2.747
100202,-0.051,0.116,0.982,1.892,1.343,-2.747
100211,-0.074,0.114,0.981,1.953,1.160,-2.686
100220,-0.077,0.105,0.980,1.953,1.587,-1.648
100228,-0.076,0.104,0.980,1.831,1.770,-0.427
100237,-0.068,0.102,0.982,2.136,2.014,0.488
100246,-0.076,0.103,0.979,2.197,2.136,1.343
100254,-0.073,0.103,0.979,2.258,3.174,2.258
100263,-0.083,0.108,0.979,2.319,4.395,3.296
100272,-0.083,0.108,0.979,2.380,5.920,3.845
100281,-0.076,0.106,0.980,2.686,7.324,4.028
100290,-0.070,0.104,0.982,2.747,8.179,4.089
100298,-0.066,0.095,0.982,2.930,9.155,3.662
100307,-0.067,0.086,0.986,3.418,9.644,4.089
100316,-0.064,0.092,0.984,3.723,10.010,5.127
100325,-0.061,0.097,0.984,2.930,9.277,5.371
100334,-0.052,0.099,0.984,1.282,7.629,5.432
100342,-0.051,0.100,0.984,0.427,5.371,4.944
100351,-0.058,0.099,0.983,-0.183,3.906,4.272
100360,-0.042,0.109,0.979,0.244,2.991,3.052
100369,-0.046,0.104,0.980,0.427,2.563,2.747
100377,-0.050,0.101,0.981,0.610,2.258,2.808
100386,-0.052,0.100,0.982,0.671,2.380,2.930
100395,-0.055,0.101,0.984,0.610,2.502,2.930
100404,-0.054,0.101,0.983,0.671,2.136,2.930
100412,-0.057,0.099,0.982,0.977,1.953,2.747
100421,-0.056,0.100,0.982,0.977,1.892,3.113
100430,-0.057,0.099,0.982,0.854,2.258,3.235
100439,-0.056,0.099,0.982,0.488,2.625,3.235
100448,-0.056,0.100,0.983,0.244,3.052,3.174
100456,-0.056,0.099,0.982,0.122,3.479,3.174
100465,-0.057,0.098,0.983,0.061,3.906,3.235
100474,-0.057,0.098,0.983,-0.183,4.272,3.052
100483,-0.056,0.097,0.983,-0.183,4.333,3.235
100492,-0.058,0.097,0.983,-0.244,4.211,3.296
100500,-0.073,0.093,0.984,-0.244,4.089,3.540
