aX,aY,aZ,gX,gY,gZ,millis
0.664,0.084,0.693,-57.983,148.01,-10.986,22424.0
0.681,0.086,0.646,-64.148,140.808,-16.052,22433.0
0.668,0.099,0.614,-70.251,133.545,-22.583,22441.0
0.665,0.113,0.591,-73.853,128.54,-27.283,22450.0
0.683,0.159,0.533,-73.425,126.404,-29.114,22459.0
0.702,0.186,0.469,-69.702,124.329,-30.701,22468.0
0.675,0.194,0.418,-65.186,118.896,-33.875,22477.0
0.665,0.162,0.398,-62.744,112.915,-36.621,22485.0
0.631,0.131,0.413,-63.171,107.056,-38.635,22494.0
0.613,0.094,0.445,-65.735,101.196,-38.574,22503.0
0.593,0.095,0.452,-70.557,96.802,-36.072,22512.0
0.575,0.141,0.454,-77.271,94.849,-32.166,22520.0
0.575,0.192,0.448,-81.055,93.872,-27.039,22529.0
0.557,0.249,0.418,-78.796,91.98,-22.705,22538.0
0.54,0.292,0.398,-72.51,87.341,-20.935,22546.0
0.509,0.336,0.39,-64.88,80.872,-22.034,22555.0
0.498,0.342,0.412,-57.129,72.998,-27.1,22564.0
0.446,0.297,0.449,-50.903,64.636,-34.241,22573.0
0.385,0.238,0.484,-49.011,60.181,-41.077,22582.0
0.35,0.186,0.479,-51.941,63.599,-44.8,22590.0
0.31,0.199,0.469,-61.646,69.946,-46.631,22599.0
0.272,0.228,0.439,-72.144,73.853,-47.668,22608.0
0.285,0.233,0.471,-75.928,76.477,-48.584,22616.0
0.303,0.187,0.461,-72.571,76.233,-48.584,22625.0
0.345,0.119,0.469,-64.392,72.388,-48.706,22634.0
0.288,0.043,0.385,-57.617,67.871,-43.396,22643.0
0.359,0.026,0.402,-53.711,68.604,-34.79,22652.0
0.384,0.072,0.39,-51.88,68.909,-21.362,22660.0
0.426,0.181,0.414,-48.279,56.824,-9.644,22669.0
0.412,0.246,0.357,-37.048,44.556,-1.648,22678.0
0.483,0.278,0.354,-19.043,46.753,2.197,22687.0
0.519,0.269,0.298,-6.287,48.767,4.333,22696.0
0.502,0.229,0.097,-2.197,51.514,1.343,22704.0
0.553,0.212,0.042,-7.324,63.293,-4.761,22713.0
0.602,0.153,-0.001,-19.104,67.017,-13.123,22722.0
0.618,0.083,-0.058,-29.724,61.096,-22.888,22731.0
0.509,0.018,-0.128,-37.964,51.331,-31.555,22740.0
0.479,-0.054,-0.129,-44.067,47.729,-36.682,22748.0
0.489,-0.111,-0.134,-50.964,41.504,-33.508,22757.0
0.561,-0.111,-0.114,-55.298,35.034,-27.344,22766.0
0.535,-0.093,-0.238,-53.589,28.259,-19.47,22775.0
0.718,-0.029,-0.097,-43.457,28.137,-14.038,22784.0
0.668,0.025,-0.14,-31.128,20.935,-8.728,22792.0
